station_id,complex_id,lat,lon,name,routes
R01,1,40.775036,-73.912034,Astoria-Ditmars Blvd,"N, W"
R03,2,40.770258,-73.917843,Astoria Blvd,"N, W"
R04,3,40.766779,-73.921479,30 Av,"N, W"
R05,4,40.76182,-73.925508,Broadway,"N, W"
R06,5,40.756804,-73.929575,36 Av,"N, W"
R08,6,40.752882,-73.932755,39 Av-Dutch Kills,"N, W"
R11,613,40.76266,-73.967258,Lexington Av/59 St,"N, R, W"
R13,8,40.764811,-73.973347,5 Av/59 St,"N, R, W"
R14,9,40.764664,-73.980658,57 St-7 Av,"N, Q, R, W"
R15,10,40.759901,-73.984139,49 St,"N, R, W"
R16,611,40.754672,-73.986754,Times Sq-42 St,"N, Q, R, W"
R17,607,40.749567,-73.98795,34 St-Herald Sq,"N, Q, R, W"
R18,13,40.745494,-73.988691,28 St,"R, W"
R19,14,40.741303,-73.989344,23 St,"R, W"
R20,602,40.735736,-73.990568,14 St-Union Sq,"N, Q, R, W"
R21,16,40.730328,-73.992629,8 St-NYU,"R, W"
R22,17,40.724329,-73.997702,Prince St,"R, W"
R23,623,40.719527,-74.001775,Canal St,"R, W"
Q01,623,40.718383,-74.00046,Canal St,"N, Q"
R24,20,40.713282,-74.006978,City Hall,"R, W"
R25,624,40.710668,-74.011029,Cortlandt St,"R, W"
R26,22,40.70722,-74.013342,Rector St,"R, W"
R27,635,40.703087,-74.012994,Whitehall St-South Ferry,"R, W"
R28,620,40.6941,-73.991777,Court St,R
R29,636,40.69218,-73.985942,Jay St-MetroTech,R
R30,26,40.690635,-73.981824,DeKalb Av,"B, Q, R"
R31,617,40.683666,-73.97881,Atlantic Av-Barclays Ctr,"D, N, R"
R32,28,40.677316,-73.98311,Union St,R
R33,608,40.670847,-73.988302,4 Av-9 St,R
R34,30,40.665414,-73.992872,Prospect Av,R
R35,31,40.660397,-73.998091,25 St,R
R36,32,40.655144,-74.003549,36 St,"D, N, R"
R39,33,40.648939,-74.010006,45 St,R
R40,34,40.645069,-74.014034,53 St,R
R41,35,40.641362,-74.017881,59 St,"N, R"
R42,36,40.634967,-74.023377,Bay Ridge Av,R
R43,37,40.629742,-74.02551,77 St,R
R44,38,40.622687,-74.028398,86 St,R
R45,39,40.616622,-74.030876,Bay Ridge-95 St,R
D24,617,40.68446,-73.97689,Atlantic Av-Barclays Ctr,"B, Q"
D25,41,40.67705,-73.972367,7 Av,"B, Q"
D26,42,40.661614,-73.962246,Prospect Park,"B, Q, S"
D27,43,40.655292,-73.961495,Parkside Av,Q
D28,44,40.650527,-73.962982,Church Av,"B, Q"
D29,45,40.644031,-73.964492,Beverley Rd,Q
D30,46,40.640927,-73.963891,Cortelyou Rd,Q
D31,47,40.635082,-73.962793,Newkirk Plaza,"B, Q"
D32,48,40.62927,-73.961639,Avenue H,Q
D33,49,40.625039,-73.960803,Avenue J,Q
D34,50,40.617618,-73.959399,Avenue M,Q
D35,51,40.60867,-73.957734,Kings Hwy,"B, Q"
D37,52,40.5993,-73.955929,Avenue U,Q
D38,53,40.595246,-73.955161,Neck Rd,Q
D39,54,40.586896,-73.954155,Sheepshead Bay,"B, Q"
D40,55,40.577621,-73.961376,Brighton Beach,"B, Q"
D41,56,40.576312,-73.968501,Ocean Pkwy,Q
D42,57,40.576127,-73.975939,W 8 St-NY Aquarium,"F, Q"
D43,58,40.577422,-73.981233,Coney Island-Stillwell Av,"D, F, N, Q"
B12,59,40.646292,-73.994324,9 Av,D
B13,60,40.640914,-73.994304,Fort Hamilton Pkwy,D
B14,61,40.63626,-73.994791,50 St,D
B15,62,40.631435,-73.995476,55 St,D
B16,615,40.626472,-73.996895,62 St,D
B17,64,40.619589,-73.998864,71 St,D
B18,65,40.613501,-74.00061,79 St,D
B19,66,40.607954,-74.001736,18 Av,D
B20,67,40.604556,-73.998168,20 Av,D
B21,68,40.601875,-73.993728,Bay Pkwy,D
B22,69,40.597704,-73.986829,25 Av,D
B23,70,40.588841,-73.983765,Bay 50 St,D
N02,71,40.635064,-74.011719,8 Av,N
N03,72,40.631386,-74.005351,Fort Hamilton Pkwy,N
N04,615,40.624842,-73.996353,New Utrecht Av,N
N05,74,40.620671,-73.990414,18 Av,N
N06,75,40.61741,-73.985026,20 Av,N
N07,76,40.611815,-73.981848,Bay Pkwy,N
N08,77,40.603923,-73.980353,Kings Hwy,N
N09,78,40.597473,-73.979137,Avenue U,N
N10,79,40.592721,-73.97823,86 St,N
J12,80,40.700492,-73.828294,121 St,"J, Z"
J13,81,40.697418,-73.836345,111 St,J
J14,82,40.695178,-73.84433,104 St,"J, Z"
J15,83,40.693879,-73.851576,Woodhaven Blvd,"J, Z"
J16,84,40.692435,-73.86001,85 St-Forest Pkwy,J
J17,85,40.691324,-73.867139,75 St-Elderts Ln,"J, Z"
J19,86,40.689941,-73.87255,Cypress Hills,J
J20,87,40.683194,-73.873785,Crescent St,"J, Z"
J21,88,40.68141,-73.880039,Norwood Av,"J, Z"
J22,89,40.679947,-73.884639,Cleveland St,J
J23,90,40.678024,-73.891688,Van Siclen Av,"J, Z"
J24,91,40.676992,-73.898654,Alabama Av,"J, Z"
J27,621,40.679498,-73.904512,Broadway Junction,"J, Z"
J28,93,40.682893,-73.910456,Chauncey St,"J, Z"
J29,94,40.68637,-73.916559,Halsey St,J
J30,95,40.68963,-73.92227,Gates Av,"J, Z"
J31,96,40.693342,-73.928814,Kosciuszko St,J
M11,97,40.697207,-73.935657,Myrtle Av,"M, J, Z"
M12,98,40.70026,-73.941126,Flushing Av,"M, J"
M13,99,40.703869,-73.947408,Lorimer St,"M, J"
M14,100,40.70687,-73.953431,Hewes St,"M, J"
M16,101,40.708359,-73.957757,Marcy Av,"M, J, Z"
M18,625,40.718315,-73.987437,Delancey St-Essex St,"M, J, Z"
M19,103,40.72028,-73.993915,Bowery,"J, Z"
M20,623,40.718092,-73.999892,Canal St,"J, Z"
M21,622,40.713243,-74.003401,Chambers St,"J, Z"
M22,628,40.710374,-74.007582,Fulton St,"J, Z"
M23,107,40.706476,-74.011056,Broad St,"J, Z"
M01,108,40.711396,-73.889601,Middle Village-Metropolitan Av,M
M04,109,40.706186,-73.895877,Fresh Pond Rd,M
M05,110,40.704423,-73.903077,Forest Av,M
M06,111,40.702762,-73.90774,Seneca Av,M
M08,630,40.69943,-73.912385,Myrtle-Wyckoff Avs,M
M09,113,40.698664,-73.919711,Knickerbocker Av,M
M10,114,40.697857,-73.927397,Central Av,M
L01,618,40.739777,-74.002578,8 Av,L
L02,601,40.737335,-73.996786,6 Av,L
L03,602,40.734789,-73.99073,14 St-Union Sq,L
L05,118,40.732849,-73.986122,3 Av,L
L06,119,40.730953,-73.981628,1 Av,L
L08,120,40.717304,-73.956872,Bedford Av,L
L10,629,40.714063,-73.950275,Lorimer St,L
L11,122,40.714565,-73.944053,Graham Av,L
L12,123,40.711926,-73.94067,Grand St,L
L13,124,40.707739,-73.93985,Montrose Av,L
L14,125,40.706152,-73.933147,Morgan Av,L
L15,126,40.706607,-73.922913,Jefferson St,L
L16,127,40.703811,-73.918425,DeKalb Av,L
L17,630,40.699814,-73.911586,Myrtle-Wyckoff Avs,L
L19,129,40.695602,-73.904084,Halsey St,L
L20,130,40.688764,-73.904046,Wilson Av,L
L21,131,40.682829,-73.905249,Bushwick Av-Aberdeen St,L
L22,621,40.678856,-73.90324,Broadway Junction,L
L24,133,40.675345,-73.903097,Atlantic Av,L
L25,134,40.669367,-73.901975,Sutter Av,L
L26,135,40.664038,-73.900571,Livonia Av,L
L27,136,40.658733,-73.899232,New Lots Av,L
L28,137,40.650573,-73.899485,East 105 St,L
L29,138,40.646654,-73.90185,Canarsie-Rockaway Pkwy,L
S01,627,40.680596,-73.955827,Franklin Av,S
S03,141,40.674772,-73.957624,Park Pl,S
S04,626,40.670343,-73.959245,Botanic Garden,S
A02,143,40.868072,-73.919899,Inwood-207 St,A
A03,144,40.865491,-73.927271,Dyckman St,A
A05,145,40.859022,-73.93418,190 St,A
A06,146,40.851695,-73.937969,181 St,A
A07,147,40.847391,-73.939704,175 St,A
A09,605,40.840719,-73.939561,168 St,"A, C"
A10,149,40.836013,-73.939892,163 St-Amsterdam Av,C
A11,150,40.830518,-73.941514,155 St,C
A12,151,40.824783,-73.944216,145 St,"A, C"
D13,151,40.824783,-73.944216,145 St,"B, D"
A14,152,40.817894,-73.947649,135 St,"C, B"
A15,153,40.811109,-73.952343,125 St,"A, C, B, D"
A16,154,40.805085,-73.954882,116 St,"C, B"
A17,155,40.800603,-73.958161,Cathedral Pkwy (110 St),"C, B"
A18,156,40.796092,-73.961454,103 St,"C, B"
A19,157,40.791642,-73.964696,96 St,"C, B"
A20,158,40.785868,-73.968916,86 St,"C, B"
A21,159,40.781433,-73.972143,81 St-Museum of Natural History,"C, B"
A22,160,40.775594,-73.97641,72 St,"C, B"
A24,614,40.768296,-73.981736,59 St-Columbus Circle,"A, C, B, D"
A25,162,40.762456,-73.985984,50 St,"C, E"
A27,611,40.757308,-73.989735,42 St-Port Authority Bus Terminal,"A, C, E"
A28,164,40.752287,-73.993391,34 St-Penn Station,"A, C, E"
A30,165,40.745906,-73.998041,23 St,"C, E"
A31,618,40.740893,-74.00169,14 St,"A, C, E"
A32,167,40.732338,-74.000495,W 4 St-Wash Sq,"A, C, E"
D20,167,40.732338,-74.000495,W 4 St-Wash Sq,"B, D, F, M"
A33,168,40.726227,-74.003739,Spring St,"C, E"
A34,169,40.720824,-74.005229,Canal St,"A, C, E"
A36,624,40.714111,-74.008585,Chambers St,"A, C"
E01,624,40.712582,-74.009781,World Trade Center,E
A38,628,40.710197,-74.007691,Fulton St,"A, C"
A40,173,40.699337,-73.990531,High St,"A, C"
A41,636,40.692338,-73.987342,Jay St-MetroTech,"A, C, F"
A42,175,40.688484,-73.985001,Hoyt-Schermerhorn Sts,"A, C, G"
A43,176,40.686113,-73.973946,Lafayette Av,C
A44,177,40.683263,-73.965838,Clinton-Washington Avs,C
A45,627,40.68138,-73.956848,Franklin Av,C
A46,179,40.680438,-73.950426,Nostrand Av,"A, C"
A47,180,40.679921,-73.940858,Kingston-Throop Avs,C
A48,181,40.679364,-73.930729,Utica Av,"A, C"
A49,182,40.678822,-73.920786,Ralph Av,C
A50,183,40.67834,-73.911946,Rockaway Av,C
A51,621,40.678334,-73.905316,Broadway Junction,"A, C"
A52,185,40.674542,-73.896548,Liberty Av,C
A53,186,40.67271,-73.890358,Van Siclen Av,C
A54,187,40.67413,-73.88075,Shepherd Av,C
A55,188,40.675377,-73.872106,Euclid Av,"A, C"
A57,189,40.677044,-73.86505,Grant Av,A
A59,190,40.679371,-73.858992,80 St,A
A60,191,40.679843,-73.85147,88 St,A
A61,192,40.680429,-73.843853,Rockaway Blvd,A
A63,193,40.681711,-73.837683,104 St,A
A64,194,40.684331,-73.832163,111 St,A
A65,195,40.685951,-73.825798,Ozone Park-Lefferts Blvd,A
H01,196,40.672097,-73.835919,Aqueduct Racetrack,A
H02,197,40.668234,-73.834058,Aqueduct-N Conduit Av,A
H03,198,40.660476,-73.830301,Howard Beach-JFK Airport,A
H04,199,40.608382,-73.815925,Broad Channel,"A, S"
H12,200,40.588034,-73.813641,Beach 90 St,"A, S"
H13,201,40.585307,-73.820558,Beach 98 St,"A, S"
H14,202,40.583209,-73.827559,Beach 105 St,"A, S"
H15,203,40.580903,-73.835592,Rockaway Park-Beach 116 St,"A, S"
H06,204,40.590927,-73.796924,Beach 67 St,A
H07,205,40.592374,-73.788522,Beach 60 St,A
H08,206,40.592943,-73.776013,Beach 44 St,A
H09,207,40.595398,-73.768175,Beach 36 St,A
H10,208,40.600066,-73.761353,Beach 25 St,A
H11,209,40.603995,-73.755405,Far Rockaway-Mott Av,A
D01,210,40.874811,-73.878855,Norwood-205 St,D
D03,211,40.873244,-73.887138,Bedford Park Blvd,"B, D"
D04,212,40.866978,-73.893509,Kingsbridge Rd,"B, D"
D05,213,40.861296,-73.897749,Fordham Rd,"B, D"
D06,214,40.856093,-73.900741,182-183 Sts,"B, D"
D07,215,40.85041,-73.905227,Tremont Av,"B, D"
D08,216,40.8459,-73.910136,174-175 Sts,"B, D"
D09,217,40.839306,-73.9134,170 St,"B, D"
D10,218,40.833771,-73.91844,167 St,"B, D"
D11,604,40.827905,-73.925651,161 St-Yankee Stadium,"B, D"
D12,220,40.830135,-73.938209,155 St,"B, D"
B04,221,40.754203,-73.942836,21 St-Queensbridge,M
B06,222,40.759145,-73.95326,Roosevelt Island,M
B08,223,40.764629,-73.966113,Lexington Av/63 St,"M, Q"
B10,224,40.763972,-73.97745,57 St,M
D15,225,40.758663,-73.981329,47-50 Sts-Rockefeller Ctr,"B, D, F, M"
D16,609,40.754222,-73.984569,42 St-Bryant Pk,"B, D, F, M"
D17,607,40.749719,-73.987823,34 St-Herald Sq,"B, D, F, M"
D18,228,40.742878,-73.992821,23 St,"F, M"
D19,601,40.738228,-73.996209,14 St,"F, M"
D21,619,40.725297,-73.996204,Broadway-Lafayette St,"B, D, F, M"
D22,231,40.718267,-73.993753,Grand St,"B, D"
F14,232,40.723402,-73.989938,2 Av,F
F15,625,40.718611,-73.988114,Delancey St-Essex St,F
F16,234,40.713715,-73.990173,East Broadway,F
F18,235,40.701397,-73.986751,York St,F
F20,236,40.686145,-73.990862,Bergen St,"F, G"
F21,237,40.680303,-73.995048,Carroll St,"F, G"
F22,238,40.67358,-73.995959,Smith-9 Sts,"F, G"
F23,608,40.670272,-73.989779,4 Av-9 St,"F, G"
F24,240,40.666271,-73.980305,7 Av,"F, G"
F25,241,40.660365,-73.979493,15 St-Prospect Park,"F, G"
F26,242,40.650782,-73.975776,Fort Hamilton Pkwy,"F, G"
F27,243,40.644041,-73.979678,Church Av,"F, G"
F29,244,40.636119,-73.978172,Ditmas Av,F
F30,245,40.629755,-73.976971,18 Av,F
F31,246,40.625322,-73.976127,Avenue I,F
F32,247,40.620769,-73.975264,Bay Pkwy,F
F33,248,40.61514,-73.974197,Avenue N,F
F34,249,40.608944,-73.973022,Avenue P,F
F35,250,40.603217,-73.972361,Kings Hwy,F
F36,251,40.596063,-73.973357,Avenue U,F
F38,252,40.58962,-73.97425,Avenue X,F
F39,253,40.581011,-73.974574,Neptune Av,F
F01,254,40.712646,-73.783817,Jamaica-179 St,F
F02,255,40.71047,-73.793604,169 St,F
F03,256,40.707564,-73.803326,Parsons Blvd,F
F04,257,40.70546,-73.810708,Sutphin Blvd,F
F05,258,40.709179,-73.820574,Briarwood,"E, F"
F06,259,40.714441,-73.831008,Kew Gardens-Union Tpke,"E, F"
F07,260,40.718331,-73.837324,75 Av,"E, F"
G08,261,40.721691,-73.844521,Forest Hills-71 Av,"E, F, M, R"
G09,262,40.726523,-73.852719,67 Av,"M, R"
G10,263,40.729846,-73.861604,63 Dr-Rego Park,"M, R"
G11,264,40.733106,-73.869229,Woodhaven Blvd,"M, R"
G12,265,40.737015,-73.877223,Grand Av-Newtown,"M, R"
G13,266,40.742454,-73.882017,Elmhurst Av,"M, R"
G14,616,40.746644,-73.891338,Jackson Hts-Roosevelt Av,"E, F, M, R"
G15,268,40.749669,-73.898453,65 St,"M, R"
G16,269,40.752885,-73.906006,Northern Blvd,"M, R"
G18,270,40.756312,-73.913333,46 St,"M, R"
G19,271,40.756879,-73.92074,Steinway St,"M, R"
G20,272,40.752039,-73.928781,36 St,"M, R"
G21,273,40.748973,-73.937243,Queens Plaza,"E, F, R"
F09,606,40.747846,-73.946,Court Sq-23 St,"E, F"
F11,612,40.757552,-73.969055,Lexington Av/53 St,"E, F"
F12,276,40.760167,-73.975224,5 Av/53 St,"E, F"
D14,277,40.762862,-73.981637,7 Av,"E, B, D"
G05,278,40.702147,-73.801109,Jamaica Center-Parsons/Archer,"E, J, Z"
G06,279,40.700486,-73.807969,Sutphin Blvd-Archer Av-JFK Airport,"E, J, Z"
G07,280,40.702566,-73.816859,Jamaica-Van Wyck,E
G22,606,40.746554,-73.943832,Court Sq,G
G24,282,40.744065,-73.949724,21 St,G
G26,283,40.731352,-73.954449,Greenpoint Av,G
G28,284,40.724635,-73.951277,Nassau Av,G
G29,629,40.712792,-73.951418,Metropolitan Av,G
G30,286,40.706092,-73.950308,Broadway,G
G31,287,40.700377,-73.950234,Flushing Av,G
G32,288,40.694568,-73.949046,Myrtle-Willoughby Avs,G
G33,289,40.689627,-73.953522,Bedford-Nostrand Avs,G
G34,290,40.688873,-73.96007,Classon Av,G
G35,291,40.688089,-73.966839,Clinton-Washington Avs,G
G36,292,40.687119,-73.975375,Fulton St,G
101,293,40.889248,-73.898583,Van Cortlandt Park-242 St,1
103,294,40.884667,-73.90087,238 St,1
104,295,40.878856,-73.904834,231 St,1
106,296,40.874561,-73.909831,Marble Hill-225 St,1
107,297,40.869444,-73.915279,215 St,1
108,298,40.864621,-73.918822,207 St,1
109,299,40.860531,-73.925536,Dyckman St,1
110,300,40.855225,-73.929412,191 St,1
111,301,40.849505,-73.933596,181 St,1
112,605,40.840556,-73.940133,168 St-Washington Hts,1
113,303,40.834041,-73.94489,157 St,1
114,304,40.826551,-73.95036,145 St,1
115,305,40.822008,-73.953676,137 St-City College,1
116,306,40.815581,-73.958372,125 St,1
117,307,40.807722,-73.96411,116 St-Columbia University,1
118,308,40.803967,-73.966847,Cathedral Pkwy (110 St),1
119,309,40.799446,-73.968379,103 St,1
120,310,40.793919,-73.972323,96 St,"1, 2, 3"
121,311,40.788644,-73.976218,86 St,1
122,312,40.783934,-73.979917,79 St,1
